iter	Passed	Remaining
0	3	3205
1	7	3645
2	10	3496
3	13	3326
4	14	2972
5	16	2733
6	18	2568
7	19	2437
8	22	2482
9	25	2497
10	26	2409
11	28	2335
12	30	2324
13	32	2280
14	34	2234
15	35	2195
16	38	2220
17	40	2195
18	42	2195
19	44	2157
20	46	2176
21	48	2144
22	50	2151
23	52	2153
24	55	2157
25	56	2131
26	58	2107
27	60	2085
28	61	2067
29	63	2051
30	65	2034
31	67	2030
32	69	2023
33	70	2006
34	72	2008
35	74	1991
36	75	1974
37	77	1959
38	78	1944
39	81	1944
40	82	1931
41	84	1921
42	87	1943
43	90	1961
44	93	1981
45	95	1983
46	97	1985
47	100	1984
48	102	1988
49	105	2012
50	108	2013
51	109	2001
52	112	2003
53	114	2007
54	116	2009
55	119	2020
56	123	2036
57	126	2050
58	128	2046
59	130	2042
60	133	2058
61	136	2069
62	139	2074
63	141	2070
64	143	2061
65	145	2052
66	147	2051
67	149	2043
68	150	2036
69	152	2026
70	154	2018
71	155	2010
72	158	2012
73	159	2002
74	161	1993
75	164	2001
76	167	2003
77	168	1995
78	170	1988
79	172	1979
80	173	1970
81	175	1966
82	177	1959
83	179	1960
84	181	1957
85	183	1949
86	185	1942
87	186	1933
88	188	1927
89	190	1923
90	192	1920
91	193	1912
92	195	1904
93	196	1898
94	199	1903
95	201	1899
96	203	1891
97	204	1886
98	206	1879
99	208	1879
100	210	1876
101	213	1879
102	215	1875
103	217	1870
104	219	1867
105	221	1870
106	223	1863
107	224	1856
108	227	1859
109	229	1857
110	231	1851
111	232	1845
112	234	1839
113	235	1833
114	237	1831
115	239	1826
116	241	1819
117	242	1813
118	244	1812
119	246	1806
120	247	1801
121	250	1800
122	251	1795
123	253	1790
124	255	1786
125	257	1788
126	259	1784
127	264	1802
128	267	1806
129	269	1804
130	272	1809
131	274	1803
132	276	1801
133	277	1796
134	279	1790
135	281	1789
136	283	1783
137	285	1782
138	286	1777
139	288	1772
140	290	1768
141	292	1765
142	293	1761
143	296	1762
144	298	1762
145	301	1765
146	303	1763
147	306	1766
148	310	1770
149	311	1767
150	313	1763
151	315	1761
152	317	1757
153	319	1753
154	320	1749
155	322	1744
156	324	1740
157	326	1737
158	327	1732
159	329	1728
160	330	1724
161	332	1719
162	334	1715
163	335	1711
164	337	1706
165	339	1703
166	341	1701
167	344	1705
168	346	1701
169	347	1697
170	349	1694
171	351	1690
172	353	1689
173	355	1686
174	357	1685
175	359	1681
176	361	1681
177	364	1682
178	367	1683
179	368	1679
180	370	1674
181	371	1671
182	374	1671
183	377	1674
184	379	1673
185	383	1676
186	384	1672
187	387	1672
188	389	1671
189	391	1669
190	393	1665
191	395	1662
192	396	1658
193	398	1654
194	401	1655
195	403	1657
196	407	1660
197	410	1663
198	412	1659
199	415	1662
200	418	1661
201	421	1665
202	424	1664
203	427	1668
204	430	1669
205	433	1670
206	435	1668
207	437	1665
208	439	1663
209	442	1662
210	443	1658
211	446	1659
212	448	1658
213	451	1656
214	453	1654
215	455	1652
216	456	1648
217	458	1646
218	460	1643
219	462	1640
220	464	1636
221	466	1633
222	468	1632
223	470	1629
224	471	1625
225	473	1621
226	474	1617
227	476	1613
228	478	1609
229	479	1606
230	481	1602
231	482	1598
232	485	1597
233	486	1593
234	488	1591
235	492	1594
236	494	1591
237	496	1588
238	497	1584
239	499	1581
240	502	1582
241	505	1584
242	508	1585
243	511	1586
244	514	1584
245	516	1582
246	518	1580
247	520	1576
248	522	1575
249	524	1574
250	526	1571
251	528	1569
252	531	1567
253	533	1565
254	535	1563
255	537	1561
256	539	1558
257	540	1555
258	542	1552
259	544	1550
260	546	1547
261	549	1546
262	552	1547
263	554	1547
264	556	1543
265	558	1540
266	560	1537
267	561	1533
268	564	1534
269	566	1531
270	568	1529
271	570	1526
272	573	1526
273	575	1523
274	576	1521
275	578	1518
276	581	1516
277	583	1514
278	585	1513
279	588	1512
280	590	1511
281	592	1507
282	594	1506
283	596	1504
284	599	1504
285	602	1503
286	603	1499
287	605	1496
288	606	1493
289	609	1492
290	612	1492
291	616	1493
292	620	1497
293	622	1495
294	624	1492
295	626	1489
296	628	1487
297	630	1485
298	632	1483
299	634	1479
300	636	1477
301	638	1474
302	640	1472
303	643	1472
304	645	1470
305	647	1467
306	649	1465
307	651	1463
308	652	1459
309	654	1456
310	656	1453
311	658	1451
312	659	1447
313	661	1445
314	663	1442
315	665	1441
316	667	1438
317	669	1435
318	672	1436
319	674	1434
320	676	1431
321	678	1428
322	680	1426
323	683	1425
324	686	1425
325	689	1425
326	693	1426
327	695	1425
328	699	1425
329	702	1426
330	704	1423
331	707	1423
332	710	1423
333	714	1423
334	715	1421
335	719	1421
336	721	1419
337	725	1420
338	728	1420
339	730	1417
340	733	1418
341	736	1416
342	738	1414
343	741	1414
344	744	1414
345	748	1414
346	750	1411
347	754	1413
348	758	1414
349	761	1414
350	764	1414
351	768	1414
352	771	1414
353	773	1412
354	775	1409
355	777	1406
356	779	1404
357	781	1400
358	783	1398
359	784	1395
360	788	1396
361	791	1395
362	794	1394
363	796	1392
364	799	1390
365	800	1387
366	804	1387
367	806	1385
368	810	1385
369	813	1385
370	816	1383
371	819	1382
372	820	1379
373	822	1376
374	824	1373
375	825	1370
376	827	1367
377	829	1364
378	830	1361
379	832	1358
380	834	1355
381	837	1354
382	840	1354
383	844	1353
384	846	1352
385	848	1349
386	850	1347
387	857	1353
388	860	1351
389	863	1351
390	866	1350
391	871	1350
392	873	1349
393	875	1346
394	877	1343
395	878	1340
396	882	1340
397	884	1338
398	886	1335
399	889	1333
400	890	1330
401	893	1329
402	895	1326
403	897	1323
404	899	1320
405	900	1317
406	902	1314
407	904	1312
408	906	1309
409	908	1306
410	909	1303
411	912	1302
412	914	1300
413	917	1298
414	920	1297
415	923	1295
416	926	1294
417	927	1291
418	930	1290
419	932	1287
420	935	1286
421	937	1284
422	939	1282
423	941	1279
424	943	1276
425	946	1275
426	948	1273
427	950	1269
428	952	1267
429	953	1264
430	956	1262
431	958	1259
432	960	1257
433	962	1255
434	965	1253
435	966	1250
436	968	1247
437	970	1245
438	972	1242
439	974	1240
440	976	1237
441	979	1236
442	982	1235
443	984	1233
444	986	1230
445	989	1228
446	990	1225
447	993	1223
448	994	1220
449	997	1219
450	999	1216
451	1001	1213
452	1002	1211
453	1004	1208
454	1006	1205
455	1007	1202
456	1009	1199
457	1011	1196
458	1013	1194
459	1015	1192
460	1017	1189
461	1019	1187
462	1022	1186
463	1024	1183
464	1026	1180
465	1028	1178
466	1029	1175
467	1031	1172
468	1033	1170
469	1035	1167
470	1037	1164
471	1038	1162
472	1041	1160
473	1043	1158
474	1046	1156
475	1048	1153
476	1049	1151
477	1051	1148
478	1053	1146
479	1055	1143
480	1058	1141
481	1059	1138
482	1061	1136
483	1063	1134
484	1067	1133
485	1069	1130
486	1071	1129
